Dataset,Model,resolution,n,mean,std,sem,ci_lower,ci_upper
chestmnist,ResNet18,224,6188,0.9999999992005195,9.161832383389383e-08,1.1646815333109694e-09,0.999999996917339,1.0000000014837
chestmnist,ResNet18,192,6188,0.9807476080380954,0.004679304597435895,5.948482165261507e-05,0.9806309971174754,0.9808642189587153
chestmnist,ResNet18,160,6188,0.9711809575885206,0.006988305169256241,8.88375778903225e-05,0.9710068050659841,0.9713551101110571
chestmnist,ResNet18,128,6188,0.9533260350043957,0.010964725491817973,0.00013938710908199424,0.9530527878354368,0.9535992821733547
chestmnist,ResNet18,112,6188,0.9343526386297666,0.015032139623247022,0.00019109338277231212,0.9339780291971352,0.9347272480623979
chestmnist,ResNet18,96,6188,0.9268237758179827,0.016723134615795814,0.00021258985376553392,0.9264070258324681,0.9272405258034973
chestmnist,ResNet18,80,6188,0.8992743892637314,0.02190306964383391,0.0002784388501065337,0.8987285523637419,0.8998202261637208
chestmnist,ResNet18,64,6188,0.8568234899079483,0.028929797028099648,0.0003677648635239195,0.8561025429820646,0.8575444368338321
chestmnist,ResNet18,56,6188,0.8165923321177748,0.0342621645638523,0.000435551630819268,0.8157384995729962,0.8174461646625535
chestmnist,ResNet18,48,6188,0.7797530573957107,0.039238791844165975,0.0004988161138288191,0.7787752044806706,0.7807309103107507
chestmnist,ResNet18,40,6188,0.7237020528645922,0.045852621203766666,0.0005828932350558191,0.7225593795762708,0.7248447261529136
chestmnist,ResNet18,32,6188,0.6503392162876662,0.05297815817650755,0.0006734753476703449,0.6490189705825463,0.6516594619927861
chestmnist,ResNet18,30,6188,0.6209956927739118,0.05679258085714468,0.000721965512852095,0.619580389495351,0.6224109960524725
chestmnist,ResNet18,28,6188,0.5949212414078274,0.06057053017288343,0.0007699920169147892,0.5934117894927353,0.5964306933229195
chestmnist,ResNet18,26,6188,0.5694209179409335,0.06019379616669263,0.0007652028533324453,0.5679208544506331,0.5709209814312339
chestmnist,ResNet18,24,6188,0.5397286589444646,0.061261435668035026,0.0007787750292838547,0.5382019892731497,0.5412553286157796
chestmnist,ResNet18,16,6188,0.44034750621378155,0.05313693651558086,0.0006754937888693319,0.4390233036625303,0.4416717087650328
chestmnist,ResNet18,12,6188,0.4014230847272013,0.0467962571883206,0.0005948890385085243,0.4002568954957311,0.40258927395867145
chestmnist,ResNet18,8,6188,0.37699233447987185,0.04119828243971323,0.0005237257870888107,0.37596564994946347,0.37801901901028023
chestmnist,VGG16,224,6188,0.999999999576179,1.078856217574305e-07,1.3714766447644489e-09,0.9999999968876082,1.0000000022647497
