Dataset,Resolution,Comparison,N,Skewness,Excess_Kurtosis,Pass
chestmnist,8,ResNet18 vs VGG16,6188,-0.33325079548805137,0.5768821241648756,True
chestmnist,8,ResNet18 vs ViT,6188,-0.1246406920523915,0.17697044930856842,True
chestmnist,8,VGG16 vs ViT,6188,0.20850958170551365,0.7746225221748264,True
chestmnist,12,ResNet18 vs VGG16,6188,-0.32324792146257897,0.507726476993692,True
chestmnist,12,ResNet18 vs ViT,6188,-0.05093147526112892,0.10726940442912536,True
chestmnist,12,VGG16 vs ViT,6188,0.2957891305135014,0.9045548919247195,True
chestmnist,16,ResNet18 vs VGG16,6188,-0.4978085411386784,0.7304575897573069,True
chestmnist,16,ResNet18 vs ViT,6188,-0.16283523066236125,0.047955150409416,True
chestmnist,16,VGG16 vs ViT,6188,0.2157814982283278,0.7124288725613916,True
chestmnist,24,ResNet18 vs VGG16,6188,-0.6940663060912575,1.1035125899945957,True
chestmnist,24,ResNet18 vs ViT,6188,-0.30528126378332443,0.09962198429224722,True
chestmnist,24,VGG16 vs ViT,6188,0.04030182609823948,0.41979225590835645,True
chestmnist,26,ResNet18 vs VGG16,6188,-0.7211049937441013,1.2979331574225004,True
chestmnist,26,ResNet18 vs ViT,6188,-0.3655771267086009,0.25860875346068957,True
chestmnist,26,VGG16 vs ViT,6188,0.002645018388447875,0.3454595507050313,True
chestmnist,28,ResNet18 vs VGG16,6188,-0.7561938851637705,1.367115507401249,True
chestmnist,28,ResNet18 vs ViT,6188,-0.34814134455313694,0.3454505137533701,True
chestmnist,28,VGG16 vs ViT,6188,0.05283391916520396,0.34929045754193533,True
chestmnist,30,ResNet18 vs VGG16,6188,-0.7265491118867711,1.3628246068566519,True
chestmnist,30,ResNet18 vs ViT,6188,-0.3790560586487816,0.3815468968181146,True
chestmnist,30,VGG16 vs ViT,6188,0.0809679340947573,0.321027245132969,True
chestmnist,32,ResNet18 vs VGG16,6188,-0.7079346510868145,1.452045722757905,True
chestmnist,32,ResNet18 vs ViT,6188,-0.34988893996233317,0.4065266231228932,True
chestmnist,32,VGG16 vs ViT,6188,0.10067814112229483,0.21704849432346762,True
