Dataset,Resolution,Comparison,Mean_Difference,CI_Lower,CI_Upper,t,df,Raw_p,Cohens_dz,Holm_p,Significant
chestmnist,8,ResNet18 vs VGG16,0.22041216153114476,0.21928553247877683,0.2215387905835127,383.51969175162805,6187,0.0,4.875425394750452,0.0,True
chestmnist,8,ResNet18 vs ViT,0.23307067798639472,0.23181410078245837,0.23432725519033107,363.6064034656547,6187,0.0,4.622281283794879,0.0,True
chestmnist,8,VGG16 vs ViT,0.012658516455249971,0.011536811161339845,0.013780221749160097,22.122647590566405,6187,1.9606349955309996e-104,0.28123019542895356,9.803174977654999e-104,True
chestmnist,12,ResNet18 vs VGG16,0.2395069495170981,0.23826998331677376,0.24074391571742246,379.57128205739497,6187,0.0,4.825231943654832,0.0,True
chestmnist,12,ResNet18 vs ViT,0.2433353745413245,0.2418918577829783,0.2447788912996707,330.458158614881,6187,0.0,4.20089015783014,0.0,True
chestmnist,12,VGG16 vs ViT,0.0038284250242264163,0.0025683819532116695,0.005088468095241163,5.95618002802853,6187,2.723883595378264e-09,0.0757168718814097,5.447767190756528e-09,True
chestmnist,16,ResNet18 vs VGG16,0.26681713000031426,0.2654819595095615,0.26815230049106703,391.75093653683854,6187,0.0,4.98006361990373,0.0,True
chestmnist,16,ResNet18 vs ViT,0.2740705533942109,0.27251049001158056,0.2756306167768412,344.3921102760909,6187,0.0,4.378023022815553,0.0,True
chestmnist,16,VGG16 vs ViT,0.007253423393896643,0.005938034887810216,0.00856881189998307,10.809909204748877,6187,5.378002518615314e-27,0.13741903475952513,1.6134007555845942e-26,True
chestmnist,24,ResNet18 vs VGG16,0.33311991026696075,0.3315386781721282,0.3347011423617933,412.9885682031254,6187,0.0,5.250043208897628,0.0,True
chestmnist,24,ResNet18 vs ViT,0.3308161679481029,0.3289972795303979,0.3326350563658079,356.54449006573657,6187,0.0,4.532507974455169,0.0,True
chestmnist,24,VGG16 vs ViT,-0.00230374231885784,-0.0038715418089912824,-0.0007359428287243975,-2.8805567887101993,6187,0.003983374435324873,-0.036618562281786414,0.003983374435324873,True
chestmnist,26,ResNet18 vs VGG16,0.35058276812921013,0.3490096218000564,0.35215591445836386,436.8722957458506,6187,0.0,5.5536608178169455,0.0,True
chestmnist,26,ResNet18 vs ViT,0.3413777553114279,0.33953080494656895,0.3432247056762868,362.3373087618652,6187,0.0,4.606148144662077,0.0,True
chestmnist,26,VGG16 vs ViT,-0.009205012817782215,-0.010856581177024646,-0.007553444458539786,-10.925992642599411,6187,1.5435021981024578e-27,-0.1388947246731814,6.174008792409831e-27,True
chestmnist,28,ResNet18 vs VGG16,0.3539337330168497,0.35235848085239463,0.3555089851813048,440.45843555268704,6187,0.0,5.599248977849936,0.0,True
chestmnist,28,ResNet18 vs ViT,0.33232228181917284,0.3304887342892219,0.3341558293491238,355.3042063416061,6187,0.0,4.516741089741365,0.0,True
chestmnist,28,VGG16 vs ViT,-0.021611451197676865,-0.023333885450204307,-0.019889016945149423,-24.596558025859522,6187,1.5536833911402393e-127,-0.3126793387714478,9.322100346841435e-127,True
chestmnist,30,ResNet18 vs VGG16,0.3747677244932307,0.3732290471754705,0.3763064018109909,477.4717598708144,6187,0.0,6.069774234325157,0.0,True
chestmnist,30,ResNet18 vs ViT,0.35040376534951584,0.3485739688496266,0.3522335618494051,375.40411775509824,6187,0.0,4.7722576137821635,0.0,True
chestmnist,30,VGG16 vs ViT,-0.02436395914371486,-0.026167327410701595,-0.022560590876728126,-26.484787908461136,6187,1.6506243808558282e-146,-0.33668312298058944,1.1554370665990797e-145,True
chestmnist,32,ResNet18 vs VGG16,0.3869871683527114,0.38547809231450814,0.3884962443909147,502.71113160446566,6187,0.0,6.3906252272318795,0.0,True
chestmnist,32,ResNet18 vs ViT,0.36087364829238683,0.3590544168210543,0.36269287976371933,388.8662660978405,6187,0.0,4.943392763579396,0.0,True
chestmnist,32,VGG16 vs ViT,-0.026113520060324562,-0.0279815799415885,-0.024245460179060624,-27.403604098042347,6187,3.820203914619301e-156,-0.34836340923481685,3.056163131695441e-155,True
chestmnist,40,ResNet18 vs VGG16,0.3970363198839123,0.39556491492078255,0.39850772484704206,528.9700465151872,6187,0.0,6.724436980181537,0.0,True
chestmnist,40,ResNet18 vs ViT,0.3340178250787273,0.33214473403594713,0.33589091612150745,349.57777755123163,6187,0.0,4.443944889321226,0.0,True
