Dataset,Resolution,N,Both_Correct,ResNet_only,ViT_only,Both_Wrong,ResNet18_Top1,ViT_Top1,Difference_ViT_minus_ResNet,McNemar_p,McNemar_p_Holm,Significant_Holm,Better_Model
chestmnist,8,6188,1,1,2,6184,0.0003232062055591467,0.0004848093083387201,0.0001616031027795734,1.0,1.0,False,ViT
chestmnist,12,6188,1,3,6,6178,0.0006464124111182935,0.0011312217194570137,0.0004848093083387202,0.5078125,1.0,False,ViT
chestmnist,16,6188,1,4,8,6175,0.0008080155138978668,0.0014544279250161603,0.0006464124111182936,0.3876953125,1.0,False,ViT
chestmnist,24,6188,5,25,21,6137,0.004848093083387201,0.004201680672268907,-0.0006464124111182938,0.6587380770236564,1.0,False,ResNet18
chestmnist,26,6188,3,33,28,6124,0.005817711700064641,0.005009696186166775,-0.0008080155138978666,0.6089207154048286,1.0,False,ResNet18
chestmnist,28,6188,7,46,37,6098,0.00856496444731739,0.007110536522301228,-0.0014544279250161612,0.37999939641191804,1.0,False,ResNet18
chestmnist,30,6188,11,57,58,6062,0.01098901098901099,0.011150614091790563,0.0001616031027795728,1.0,1.0,False,ViT
chestmnist,32,6188,13,81,69,6025,0.015190691661279896,0.013251454427925016,-0.0019392372333548805,0.369161469661788,1.0,False,ResNet18
chestmnist,40,6188,52,309,182,5645,0.05833872010342599,0.037815126050420166,-0.02052359405300582,1.0823978776155842e-08,1.1906376653771426e-07,True,ResNet18
chestmnist,48,6188,183,705,372,4928,0.14350355526826114,0.08968972204266322,-0.05381383322559792,2.0099057775336412e-24,2.4118869330403696e-23,True,ResNet18
chestmnist,56,6188,431,1123,579,4055,0.251131221719457,0.1632191338073691,-0.0879120879120879,3.13819951295394e-40,4.0796593668401224e-39,True,ResNet18
chestmnist,64,6188,942,1637,758,2851,0.41677440206851973,0.27472527472527475,-0.14204912734324499,1.2497499407704932e-73,1.8746249111557398e-72,True,ResNet18
chestmnist,80,6188,2614,1799,667,1108,0.7131544925662573,0.5302197802197802,-0.18293471234647707,3.81053696120956e-119,6.096859137935296e-118,True,ResNet18
chestmnist,96,6188,4456,1211,287,234,0.9158047834518422,0.7664835164835165,-0.1493212669683257,5.132558939444654e-135,8.725350197055912e-134,True,ResNet18
chestmnist,112,6188,4601,1256,183,148,0.9465093729799612,0.773109243697479,-0.17340012928248216,5.971497024397841e-197,1.0748694643916114e-195,True,ResNet18
chestmnist,128,6188,5845,314,21,8,0.9953135100193924,0.9479638009049773,-0.04734970911441505,3.353177818525546e-68,4.6944489459357644e-67,True,ResNet18
chestmnist,160,6188,6167,21,0,0,1.0,0.996606334841629,-0.0033936651583710287,9.5367431640625e-07,9.5367431640625e-06,True,ResNet18
chestmnist,192,6188,6186,2,0,0,1.0,0.9996767937944409,-0.0003232062055591456,0.5,1.0,False,ResNet18
stl10,8,8000,1,3,28,7968,0.0005,0.003625,0.003125,4.649162292480469e-06,2.3245811462402344e-05,True,ViT
stl10,12,8000,3,8,197,7792,0.001375,0.025,0.023625,2.7299156983255578e-48,1.6379494189953347e-47,True,ViT
stl10,16,8000,28,40,672,7260,0.0085,0.0875,0.07899999999999999,4.977035220258455e-149,3.981628176206764e-148,True,ViT
stl10,24,8000,570,354,2532,4544,0.1155,0.38775,0.27225,0.0,0.0,True,ViT
stl10,26,8000,1031,496,2896,3577,0.190875,0.490875,0.30000000000000004,0.0,0.0,True,ViT
stl10,28,8000,1750,623,3073,2554,0.296625,0.602875,0.30625,0.0,0.0,True,ViT
stl10,30,8000,2398,679,2924,1999,0.384625,0.66525,0.280625,0.0,0.0,True,ViT
stl10,32,8000,3422,703,2461,1414,0.515625,0.735375,0.21975,1.0786761195064325e-226,9.708085075557893e-226,True,ViT
stl10,40,8000,6268,433,999,300,0.837625,0.908375,0.07075000000000009,9.498288182279116e-52,6.648801727595382e-51,True,ViT
stl10,48,8000,7459,220,257,64,0.959875,0.9645,0.00462499999999999,0.09918419761308606,0.29755259283925817,False,ViT
stl10,56,8000,7863,73,50,14,0.992,0.989125,-0.002874999999999961,0.04685007918645582,0.18740031674582328,False,ResNet18
stl10,64,8000,7940,33,21,6,0.996625,0.995125,-0.0014999999999999458,0.13367423536410522,0.29755259283925817,False,ResNet18
stl10,80,8000,7981,12,7,0,0.999125,0.9985,-0.0006249999999999867,0.359283447265625,0.359283447265625,False,ResNet18
