Dataset,Model,Resolution,N,Top1_Acc,Top1_CI_Lower,Top1_CI_Upper,Top5_Acc,Top5_CI_Lower,Top5_CI_Upper,Mean_Rank,Median_Rank
chestmnist,ResNet18,224,6188,1.0,0.999379593478573,1.0,1.0,0.999379593478573,1.0,0.0,0.0
chestmnist,ResNet18,192,6188,1.0,0.999379593478573,1.0,1.0,0.999379593478573,1.0,0.0,0.0
chestmnist,ResNet18,160,6188,1.0,0.999379593478573,1.0,1.0,0.999379593478573,1.0,0.0,0.0
chestmnist,ResNet18,128,6188,0.9953135100193924,0.9932775345867969,0.996734893988454,0.9995151906916613,0.9985754687242265,0.9998351076953822,0.015029088558500324,0.0
chestmnist,ResNet18,112,6188,0.9465093729799612,0.9406209800616137,0.9518437312445587,0.9840012928248222,0.9805614180829881,0.986840612449761,0.7504848093083387,0.0
chestmnist,ResNet18,96,6188,0.9158047834518422,0.9086255547464751,0.9224680761586214,0.9686489980607628,0.9640079446203765,0.9727085457118348,1.64770523594053,0.0
chestmnist,ResNet18,80,6188,0.7131544925662573,0.7017558820891562,0.7242886181688394,0.8584356819650937,0.8495274758627511,0.8668991363982297,12.52278603749192,0.0
chestmnist,ResNet18,64,6188,0.41677440206851973,0.4045456835569304,0.4291063879875218,0.6006787330316742,0.5884172154763263,0.6128153271019383,61.61441499676794,1.0
chestmnist,ResNet18,56,6188,0.251131221719457,0.24048283592761246,0.2620884071373511,0.40093729799612154,0.3887915011656884,0.4132060131192614,149.3901098901099,12.0
chestmnist,ResNet18,48,6188,0.14350355526826114,0.13498955428165763,0.15245990169321885,0.26712992889463477,0.25625266055330825,0.2782961454574791,281.7651906916613,46.0
chestmnist,ResNet18,40,6188,0.05833872010342599,0.052768304247384885,0.0644571550360863,0.1268584356819651,0.11879697718082023,0.1353828931029467,567.7870071105365,181.0
chestmnist,ResNet18,32,6188,0.015190691661279896,0.012430145825090829,0.018552795210552628,0.04508726567550097,0.04019350506610793,0.05054548793900418,1078.214770523594,595.5
chestmnist,ResNet18,30,6188,0.01098901098901099,0.008678055831261878,0.013906737360023824,0.03312863606981254,0.028951047722196567,0.037885524495128074,1283.5250484809308,776.0
chestmnist,ResNet18,28,6188,0.00856496444731739,0.006554426289479821,0.0111852816069841,0.026018099547511313,0.022336196742378495,0.030288125276802254,1452.2003878474466,975.0
chestmnist,ResNet18,26,6188,0.005817711700064641,0.004205361120566423,0.008043250108432806,0.01971557853910795,0.016538020519684643,0.023489079732959467,1611.0953458306399,1146.0
chestmnist,ResNet18,24,6188,0.004848093083387201,0.0033981387085995195,0.006912438402470996,0.01680672268907563,0.013890659640188414,0.020322338258669564,1783.5342598577893,1346.0
chestmnist,ResNet18,16,6188,0.0008080155138978668,0.0003451837599393994,0.0018902511930948122,0.005817711700064641,0.004205361120566423,0.008043250108432806,2330.002747252747,1986.0
chestmnist,ResNet18,12,6188,0.0006464124111182935,0.00025140497391282636,0.0016610242927999333,0.003555268261150614,0.002349088737250982,0.005377442883247917,2577.816742081448,2340.5
chestmnist,ResNet18,8,6188,0.0003232062055591467,8.86392743987284e-05,0.0011777786196711273,0.0027472527472527475,0.0017160118419577543,0.004395491346933885,2778.5875888817063,2649.5
chestmnist,VGG16,224,6188,1.0,0.999379593478573,1.0,1.0,0.999379593478573,1.0,0.0,0.0
chestmnist,VGG16,192,6188,0.984486102133161,0.981092636687111,0.9872784109046028,0.9983839689722043,0.997027590666175,0.9991219459491836,0.032805429864253395,0.0
chestmnist,VGG16,160,6188,0.9054621848739496,0.8979188343420923,0.9125024326384312,0.9751131221719457,0.9709270077435085,0.9787097100415608,0.7060439560439561,0.0
chestmnist,VGG16,128,6188,0.6022947640594699,0.5900405824111463,0.614422017030333,0.8013897866839044,0.7912639158084851,0.8111416891810233,12.104395604395604,0.0
chestmnist,VGG16,112,6188,0.3211053652230123,0.3095862667005952,0.33284643854155727,0.5499353587588882,0.5375126239546961,0.5622961331186327,53.383484162895925,3.0
chestmnist,VGG16,96,6188,0.2603425985778927,0.2495601229349256,0.2714224442503609,0.4678409825468649,0.45543272426307846,0.4802891441589525,70.91499676793795,6.0
chestmnist,VGG16,80,6188,0.11780866192630898,0.11001241193374375,0.12607913991602185,0.2706851971557854,0.2597596012282676,0.2818953298815917,179.41742081447964,29.0
chestmnist,VGG16,64,6188,0.042986425339366516,0.03821001460498942,0.0483299044779438,0.11570782159017454,0.10797525776182999,0.12391722016575675,429.088720103426,123.5
chestmnist,VGG16,56,6188,0.021170006464124112,0.017869269003644255,0.025064882425892932,0.06043956043956044,0.054770452232382756,0.06665408097326732,720.6273432449904,291.5
chestmnist,VGG16,48,6188,0.011797026502908856,0.009393557322447397,0.014806264300445562,0.03636069812540401,0.03197705684191777,0.04131962910183593,1019.1342921784099,508.0
chestmnist,VGG16,40,6188,0.005171299288946348,0.0036655718184381804,0.007291016665275239,0.01906916612798966,0.015947880744013907,0.0227871967633444,1417.7270523594052,888.0
chestmnist,VGG16,32,6188,0.0022624434389140274,0.0013482074036379483,0.003794278726289334,0.009696186166774402,0.007540743975372023,0.012460003725342061,1831.0945378151262,1373.0
