Dataset,Model,metric,value
chestmnist,ResNet18,Pearson_r,0.8489838151248174
chestmnist,ResNet18,VIF_Resolution_z,3.581322208656387
chestmnist,ResNet18,VIF_Stability_z,3.5813222086563887
chestmnist,VGG16,Pearson_r,0.9518128138190969
chestmnist,VGG16,VIF_Resolution_z,10.632374570837676
chestmnist,VGG16,VIF_Stability_z,10.632374570837676
chestmnist,ViT,Pearson_r,0.9270062399866402
chestmnist,ViT,VIF_Resolution_z,7.109370432590203
chestmnist,ViT,VIF_Stability_z,7.109370432590203
stl10,ResNet18,Pearson_r,0.8986130820359215
stl10,ResNet18,VIF_Resolution_z,5.194952844974957
stl10,ResNet18,VIF_Stability_z,5.194952844974957
stl10,VGG16,Pearson_r,0.8925864104634224
stl10,VGG16,VIF_Resolution_z,4.9190932178407145
stl10,VGG16,VIF_Stability_z,4.919093217840717
stl10,ViT,Pearson_r,0.8667584953362986
stl10,ViT,VIF_Resolution_z,4.020428427850454
stl10,ViT,VIF_Stability_z,4.020428427850455
