Dataset,Model,Parameter,coef,std_err,p_value
chestmnist,ResNet18,Intercept,-3.4160192283837576,0.12133120890432227,2.111044643501331e-174
chestmnist,ResNet18,Stability_z,4.768193990235839,0.17106374478484918,5.5475339799790835e-171
chestmnist,ResNet18,Resolution_z,1.1444481391399095,0.0910680485012452,3.208416643621449e-36
chestmnist,VGG16,Intercept,-5.3661853968043545,0.1005993606532348,0.0
chestmnist,VGG16,Stability_z,3.7026204284643494,0.11378319033839039,2.8058307588429985e-232
chestmnist,VGG16,Resolution_z,0.7375265584227919,0.06020620835551665,1.6797851013256718e-34
chestmnist,ViT,Intercept,-3.0576094052179204,0.06757325600687256,0.0
chestmnist,ViT,Stability_z,3.9920688397826276,0.09615016013268197,0.0
chestmnist,ViT,Resolution_z,0.29999171639464306,0.05291613134847986,1.4347239155151567e-08
stl10,ResNet18,Intercept,-0.9136906730907998,0.03033279173253044,2.4807519463222376e-199
stl10,ResNet18,Stability_z,6.207422614310905,0.0874825160054015,0.0
stl10,ResNet18,Resolution_z,0.04381514133753996,0.0728785112033307,0.5477014807387688
stl10,VGG16,Intercept,-1.679331907019534,0.026168598199303287,0.0
stl10,VGG16,Stability_z,3.9761263206835435,0.055758190622871844,0.0
stl10,VGG16,Resolution_z,0.7431381333919517,0.04435764191914858,5.354503406641364e-63
stl10,ViT,Intercept,1.3094838283315495,0.02980894026837412,0.0
stl10,ViT,Stability_z,2.6487263676935506,0.0460145687419143,0.0
stl10,ViT,Resolution_z,1.2514927124113597,0.06141052461200154,2.5619781244754884e-92
