Dataset,Model,Parameter,coef,std_err,p_value
chestmnist,ResNet18,Intercept,-4.28483807587269,0.16154847910675957,5.187620090383378e-155
chestmnist,ResNet18,Stability_z,5.696399211397981,0.36014584797607013,2.378347504874973e-56
chestmnist,ResNet18,Resolution_log_z,0.5943329988680517,0.25370580814885296,0.019149542818998954
chestmnist,VGG16,Intercept,-6.031362705960734,0.0937156184563384,0.0
chestmnist,VGG16,Stability_z,4.263305571696967,0.13067817273194005,1.8453195622796195e-233
chestmnist,VGG16,Resolution_log_z,0.6765521183438038,0.15039937229778674,6.847624670135637e-06
chestmnist,ViT,Intercept,-3.2368298549622443,0.053870908298006975,0.0
chestmnist,ViT,Stability_z,4.585199439685491,0.11861700478641908,0.0
chestmnist,ViT,Resolution_log_z,-0.25136880652464194,0.11055241577919682,0.022980885384138967
stl10,ResNet18,Intercept,-0.9336685039367904,0.024317641249403815,0.0
stl10,ResNet18,Stability_z,6.298430974929359,0.09165246321305819,0.0
stl10,ResNet18,Resolution_log_z,-0.06343678040485796,0.07986518419591941,0.4270217907946009
stl10,VGG16,Intercept,-1.903318502673753,0.02710918529421344,0.0
stl10,VGG16,Stability_z,4.019412316830402,0.05697621943042318,0.0
stl10,VGG16,Resolution_log_z,0.8517032778053383,0.05508154232525864,6.205298579069005e-54
stl10,ViT,Intercept,0.9232650548062894,0.025336157470859207,9.688849620487892e-291
stl10,ViT,Stability_z,2.638616711745169,0.045300243346043635,0.0
stl10,ViT,Resolution_log_z,1.083574577180106,0.047591326050474884,9.449758238802146e-115
