Dataset,Model,Parameter,coef,std_err,p_value
chestmnist,ResNet18,Intercept,-0.3955932056052229,0.02404279641701619,7.888434537053896e-61
chestmnist,ResNet18,Resolution_z,4.767261914510865,0.04860426829699486,0.0
chestmnist,VGG16,Intercept,-3.1093353399707206,0.040936134407247804,0.0
chestmnist,VGG16,Resolution_z,2.9402051679990615,0.028844915629878023,0.0
chestmnist,ViT,Intercept,-1.0856381391488472,0.024239332638198836,0.0
chestmnist,ViT,Resolution_z,3.540544951730108,0.03195424855550665,0.0
stl10,ResNet18,Intercept,0.847146045094356,0.024878793475279083,3.93220798986154e-254
stl10,ResNet18,Resolution_z,4.620838183856661,0.04948392040328941,0.0
stl10,VGG16,Intercept,-0.6829883085070035,0.022555703438456386,2.0977716625574106e-201
stl10,VGG16,Resolution_z,3.1701329066469346,0.028203088188215042,0.0
stl10,ViT,Intercept,1.8915345068159972,0.031439690178660724,0.0
stl10,ViT,Resolution_z,3.96318853833386,0.045332144224107314,0.0
