Dataset,Model,Parameter,coef,std_err,p_value
chestmnist,ResNet18,Intercept,-2.3910795819976483,0.0439297777958673,0.0
chestmnist,ResNet18,Resolution_log_z,5.12547550697089,0.05778022762586259,0.0
chestmnist,VGG16,Intercept,-5.8876499662824235,0.18559445588718734,7.439314507737287e-221
chestmnist,VGG16,Resolution_log_z,5.198162811552182,0.10657939137781113,0.0
chestmnist,ViT,Intercept,-2.8158879683625573,0.043841774844667156,0.0
chestmnist,ViT,Resolution_log_z,4.374192016597694,0.04629462786852793,0.0
stl10,ResNet18,Intercept,-0.5099311661041157,0.022678517668430914,5.792966061607641e-112
stl10,ResNet18,Resolution_log_z,4.70142990845567,0.046880682759085406,0.0
stl10,VGG16,Intercept,-1.7856567320173267,0.03170726173055379,0.0
stl10,VGG16,Resolution_log_z,3.8072599447917357,0.036132388989501246,0.0
stl10,ViT,Intercept,0.6277107264319538,0.021629823476580764,3.6156965393371556e-185
stl10,ViT,Resolution_log_z,3.283121722069956,0.03235648531281859,0.0
