Dataset,Model,Resolution,r,Raw_p,N,Holm_p
chestmnist,ResNet18,128,0.14582153153619054,9.287964827932799e-31,6188,8.35916834513952e-30
chestmnist,ResNet18,112,0.34466182721223276,3.946715412365744e-172,6188,5.525401577312042e-171
chestmnist,ResNet18,96,0.35644575897147773,8.479203983336282e-185,6188,1.2718805975004422e-183
chestmnist,ResNet18,80,0.41338969481813986,4.520885374226669e-254,6188,7.233416598762671e-253
chestmnist,ResNet18,64,0.3426544359332478,5.015229474338489e-170,6188,6.519798316640036e-169
chestmnist,ResNet18,56,0.3008769121757068,1.1591345497663165e-129,6188,1.3909614597195797e-128
chestmnist,ResNet18,48,0.2450132186698928,2.8536774362918066e-85,6188,3.139045179920987e-84
chestmnist,ResNet18,40,0.19038778056341185,1.349175234166423e-51,6188,1.349175234166423e-50
chestmnist,ResNet18,32,0.11402077063348451,2.322795439431721e-19,6188,1.858236351545377e-18
chestmnist,ResNet18,30,0.10754367587386454,2.2002709797575416e-17,6188,1.540189685830279e-16
chestmnist,ResNet18,28,0.10024319854024422,2.7044738921653187e-15,6188,1.6226843352991912e-14
chestmnist,ResNet18,26,0.09450755955438706,9.369200097378283e-14,6188,2.810760029213485e-13
chestmnist,ResNet18,24,0.09604624165183571,3.693692492395307e-14,6188,1.8468462461976533e-13
chestmnist,ResNet18,16,0.0868467246994653,7.74168712714711e-12,6188,1.548337425429422e-11
chestmnist,ResNet18,12,0.09596358947919234,3.884531267524252e-14,6188,1.8468462461976533e-13
chestmnist,ResNet18,8,0.07389832642315879,5.887923463585889e-09,6188,5.887923463585889e-09
chestmnist,VGG16,192,0.20247299141628947,2.9494563836308783e-58,6188,3.539347660357054e-57
chestmnist,VGG16,160,0.33015467239192764,2.854232226713373e-157,6188,4.852194785412734e-156
chestmnist,VGG16,128,0.35344200419279437,1.6188467830943702e-181,6188,2.913924209569866e-180
chestmnist,VGG16,112,0.3033625313017304,6.925499871509552e-132,6188,1.0388249807264327e-130
chestmnist,VGG16,96,0.3059380707764376,3.259560820772007e-134,6188,5.215297313235211e-133
chestmnist,VGG16,80,0.26617676094780013,7.404733378415609e-101,6188,1.0366626729781853e-99
chestmnist,VGG16,64,0.2111597525377672,2.566284083290565e-63,6188,3.3361693082777347e-62
chestmnist,VGG16,56,0.1926467015097116,8.288487479850144e-53,6188,8.288487479850143e-52
chestmnist,VGG16,48,0.18465813325816952,1.3645313183114844e-48,6188,1.0916250546491875e-47
chestmnist,VGG16,40,0.18493138267335363,9.860379346882032e-49,6188,8.874341412193828e-48
chestmnist,VGG16,32,0.197731199831593,1.3658503925484026e-55,6188,1.5024354318032428e-54
chestmnist,VGG16,30,0.13913219951998088,3.9954503161473435e-28,6188,7.990900632294687e-28
chestmnist,VGG16,28,0.17559776323636636,4.878242454399416e-44,6188,2.92694547263965e-43
chestmnist,VGG16,26,0.18052734633889103,1.7415877012006068e-46,6188,1.2191113908404247e-45
chestmnist,VGG16,24,0.16387810145759507,1.663199766458505e-38,6188,6.65279906583402e-38
chestmnist,VGG16,16,0.16719754211153764,4.948802940160038e-40,6188,2.4744014700800192e-39
chestmnist,VGG16,12,0.1465030020063682,4.925945465339242e-31,6188,1.4777836396017725e-30
chestmnist,VGG16,8,0.11656206020543636,3.6218032206555725e-20,6188,3.6218032206555725e-20
chestmnist,ViT,192,0.10049276058475712,2.3070532765614023e-15,6188,4.614106553122805e-15
chestmnist,ViT,160,0.1975506458296597,1.7201357469568823e-55,6188,1.7201357469568823e-54
chestmnist,ViT,128,0.34673887991067287,2.5279051725449534e-174,6188,3.539067241562935e-173
