TABLE: Table1_Collinearity - Sheet1
Dataset,Model,Pearson r,VIF
chestmnist,ResNet18,0.849,3.58
chestmnist,VGG16,0.952,10.63
chestmnist,ViT,0.927,7.11
stl10,ResNet18,0.899,5.19
stl10,VGG16,0.893,4.92
stl10,ViT,0.867,4.02

TABLE: TableS10_Paired_Diff_Normality - Sheet1
Dataset,Resolution,Comparison,N,Skewness,Kurtosis,Pass
chestmnist,8,ResNet18 vs VGG16,6188,-0.3333,0.5769,True
chestmnist,8,ResNet18 vs ViT,6188,-0.1246,0.177,True
chestmnist,8,VGG16 vs ViT,6188,0.2085,0.7746,True
chestmnist,12,ResNet18 vs VGG16,6188,-0.3232,0.5077,True
chestmnist,12,ResNet18 vs ViT,6188,-0.0509,0.1073,True
chestmnist,12,VGG16 vs ViT,6188,0.2958,0.9046,True
chestmnist,16,ResNet18 vs VGG16,6188,-0.4978,0.7305,True
chestmnist,16,ResNet18 vs ViT,6188,-0.1628,0.048,True
chestmnist,16,VGG16 vs ViT,6188,0.2158,0.7124,True
chestmnist,24,ResNet18 vs VGG16,6188,-0.6941,1.1035,True
chestmnist,24,ResNet18 vs ViT,6188,-0.3053,0.0996,True
chestmnist,24,VGG16 vs ViT,6188,0.0403,0.4198,True
chestmnist,26,ResNet18 vs VGG16,6188,-0.7211,1.2979,True
chestmnist,26,ResNet18 vs ViT,6188,-0.3656,0.2586,True
chestmnist,26,VGG16 vs ViT,6188,0.0026,0.3455,True
chestmnist,28,ResNet18 vs VGG16,6188,-0.7562,1.3671,True
chestmnist,28,ResNet18 vs ViT,6188,-0.3481,0.3455,True
chestmnist,28,VGG16 vs ViT,6188,0.0528,0.3493,True
chestmnist,30,ResNet18 vs VGG16,6188,-0.7265,1.3628,True
chestmnist,30,ResNet18 vs ViT,6188,-0.3791,0.3815,True
chestmnist,30,VGG16 vs ViT,6188,0.081,0.321,True
chestmnist,32,ResNet18 vs VGG16,6188,-0.7079,1.452,True
chestmnist,32,ResNet18 vs ViT,6188,-0.3499,0.4065,True
chestmnist,32,VGG16 vs ViT,6188,0.1007,0.217,True
chestmnist,40,ResNet18 vs VGG16,6188,-0.3961,0.7178,True
chestmnist,40,ResNet18 vs ViT,6188,-0.2299,0.1846,True
chestmnist,40,VGG16 vs ViT,6188,0.0654,0.1478,True
chestmnist,48,ResNet18 vs VGG16,6188,-0.1952,0.2558,True
chestmnist,48,ResNet18 vs ViT,6188,-0.1266,-0.0944,True
chestmnist,48,VGG16 vs ViT,6188,0.0138,0.0617,True
chestmnist,56,ResNet18 vs VGG16,6188,-0.0979,0.0097,True
chestmnist,56,ResNet18 vs ViT,6188,0.0089,-0.1377,True
chestmnist,56,VGG16 vs ViT,6188,0.0594,0.0906,True
chestmnist,64,ResNet18 vs VGG16,6188,0.0383,-0.0394,True
chestmnist,64,ResNet18 vs ViT,6188,0.0967,-0.1484,True
chestmnist,64,VGG16 vs ViT,6188,0.0533,0.025,True
chestmnist,80,ResNet18 vs VGG16,6188,0.267,0.1063,True
chestmnist,80,ResNet18 vs ViT,6188,0.3445,0.0688,True
chestmnist,80,VGG16 vs ViT,6188,0.0335,0.0714,True
chestmnist,96,ResNet18 vs VGG16,6188,0.399,0.2766,True
chestmnist,96,ResNet18 vs ViT,6188,0.5799,0.7129,True
chestmnist,96,VGG16 vs ViT,6188,-0.0407,0.2342,True
chestmnist,112,ResNet18 vs VGG16,6188,0.452,0.353,True
chestmnist,112,ResNet18 vs ViT,6188,0.5868,0.7931,True
chestmnist,112,VGG16 vs ViT,6188,-0.1254,0.2673,True
chestmnist,128,ResNet18 vs VGG16,6188,0.5572,0.5585,True
chestmnist,128,ResNet18 vs ViT,6188,0.8342,1.6822,True
chestmnist,128,VGG16 vs ViT,6188,-0.1718,0.5104,True
chestmnist,160,ResNet18 vs VGG16,6188,0.7807,1.1656,True
chestmnist,160,ResNet18 vs ViT,6188,1.0933,2.7,True
chestmnist,160,VGG16 vs ViT,6188,-0.2332,0.9659,True
chestmnist,192,ResNet18 vs VGG16,6188,0.885,1.5536,True
chestmnist,192,ResNet18 vs ViT,6188,1.3068,3.5019,True
chestmnist,192,VGG16 vs ViT,6188,-0.244,1.2955,True
stl10,8,ResNet18 vs VGG16,8000,-0.2634,0.0609,True
stl10,8,ResNet18 vs ViT,8000,-0.3613,0.653,True
stl10,8,VGG16 vs ViT,8000,0.0449,0.2322,True
stl10,12,ResNet18 vs VGG16,8000,-0.161,-0.0196,True
stl10,12,ResNet18 vs ViT,8000,-0.6806,1.0414,True
stl10,12,VGG16 vs ViT,8000,-0.3673,0.6413,True
stl10,16,ResNet18 vs VGG16,8000,-0.0979,-0.1493,True
stl10,16,ResNet18 vs ViT,8000,-0.554,0.2912,True
stl10,16,VGG16 vs ViT,8000,-0.3733,0.3049,True
stl10,24,ResNet18 vs VGG16,8000,0.0379,-0.2233,True
stl10,24,ResNet18 vs ViT,8000,-0.0788,-0.39,True
stl10,24,VGG16 vs ViT,8000,-0.1685,-0.0997,True
stl10,26,ResNet18 vs VGG16,8000,0.1002,-0.2051,True
stl10,26,ResNet18 vs ViT,8000,0.0498,-0.3563,True
stl10,26,VGG16 vs ViT,8000,-0.1002,-0.0623,True
stl10,28,ResNet18 vs VGG16,8000,0.1211,-0.2077,True
stl10,28,ResNet18 vs ViT,8000,0.1677,-0.3375,True
stl10,28,VGG16 vs ViT,8000,-0.0296,-0.0718,True
stl10,30,ResNet18 vs VGG16,8000,0.1681,-0.1481,True
stl10,30,ResNet18 vs ViT,8000,0.2405,-0.2923,True
stl10,30,VGG16 vs ViT,8000,-0.0102,-0.0617,True
stl10,32,ResNet18 vs VGG16,8000,0.2172,-0.1156,True
stl10,32,ResNet18 vs ViT,8000,0.3174,-0.2117,True
stl10,32,VGG16 vs ViT,8000,0.0134,-0.0338,True
stl10,40,ResNet18 vs VGG16,8000,0.3997,0.0966,True
stl10,40,ResNet18 vs ViT,8000,0.6224,0.3641,True
stl10,40,VGG16 vs ViT,8000,0.1127,0.1998,True
stl10,48,ResNet18 vs VGG16,8000,0.4991,0.223,True
stl10,48,ResNet18 vs ViT,8000,0.8333,0.9932,True
stl10,48,VGG16 vs ViT,8000,0.1447,0.4112,True
stl10,56,ResNet18 vs VGG16,8000,0.6555,0.5034,True
stl10,56,ResNet18 vs ViT,8000,1.1451,2.5024,True
stl10,56,VGG16 vs ViT,8000,0.0868,0.911,True
stl10,64,ResNet18 vs VGG16,8000,0.8096,0.8761,True
stl10,64,ResNet18 vs ViT,8000,1.3535,3.4747,True
stl10,64,VGG16 vs ViT,8000,0.0893,1.1753,True
stl10,80,ResNet18 vs VGG16,8000,1.0598,1.8707,True
stl10,80,ResNet18 vs ViT,8000,1.8546,7.3328,False
stl10,80,VGG16 vs ViT,8000,-0.0635,2.9105,True

TABLE: TableS1_Descriptive_Statistics - Sheet1
Dataset,Model,resolution,mean,std,ci_lower,ci_upper
chestmnist,ResNet18,224,1,0,1,1
chestmnist,ResNet18,192,0.9807,0.0047,0.9806,0.9809
chestmnist,ResNet18,160,0.9712,0.007,0.971,0.9714
chestmnist,ResNet18,128,0.9533,0.011,0.9531,0.9536
chestmnist,ResNet18,112,0.9344,0.015,0.934,0.9347
chestmnist,ResNet18,96,0.9268,0.0167,0.9264,0.9272
chestmnist,ResNet18,80,0.8993,0.0219,0.8987,0.8998
chestmnist,ResNet18,64,0.8568,0.0289,0.8561,0.8575
chestmnist,ResNet18,56,0.8166,0.0343,0.8157,0.8174
chestmnist,ResNet18,48,0.7798,0.0392,0.7788,0.7807
chestmnist,ResNet18,40,0.7237,0.0459,0.7226,0.7248
chestmnist,ResNet18,32,0.6503,0.053,0.649,0.6517
chestmnist,ResNet18,30,0.621,0.0568,0.6196,0.6224
chestmnist,ResNet18,28,0.5949,0.0606,0.5934,0.5964
chestmnist,ResNet18,26,0.5694,0.0602,0.5679,0.5709
chestmnist,ResNet18,24,0.5397,0.0613,0.5382,0.5413
chestmnist,ResNet18,16,0.4403,0.0531,0.439,0.4417
chestmnist,ResNet18,12,0.4014,0.0468,0.4003,0.4026
chestmnist,ResNet18,8,0.377,0.0412,0.376,0.378
chestmnist,VGG16,224,1,0,1,1
chestmnist,VGG16,192,0.9091,0.0243,0.9085,0.9097
chestmnist,VGG16,160,0.8705,0.0336,0.8697,0.8713
chestmnist,VGG16,128,0.7971,0.047,0.7959,0.7983
chestmnist,VGG16,112,0.7234,0.0587,0.7219,0.7249
chestmnist,VGG16,96,0.697,0.0604,0.6955,0.6985
chestmnist,VGG16,80,0.6197,0.0676,0.618,0.6214
chestmnist,VGG16,64,0.5248,0.0699,0.5231,0.5265
chestmnist,VGG16,56,0.4501,0.0675,0.4484,0.4518
chestmnist,VGG16,48,0.3951,0.0633,0.3936,0.3967
chestmnist,VGG16,40,0.3267,0.0582,0.3252,0.3281
chestmnist,VGG16,32,0.2634,0.0513,0.2621,0.2646
chestmnist,VGG16,30,0.2462,0.0499,0.245,0.2475
chestmnist,VGG16,28,0.241,0.0489,0.2398,0.2422
chestmnist,VGG16,26,0.2188,0.0462,0.2177,0.22
chestmnist,VGG16,24,0.2066,0.0447,0.2055,0.2077
chestmnist,VGG16,16,0.1735,0.0402,0.1725,0.1745
chestmnist,VGG16,12,0.1619,0.0377,0.161,0.1629
chestmnist,VGG16,8,0.1566,0.0359,0.1557,0.1575
chestmnist,ViT,224,1,0,1,1
chestmnist,ViT,192,0.942,0.0188,0.9415,0.9425
chestmnist,ViT,160,0.9106,0.0265,0.9099,0.9112
chestmnist,ViT,128,0.8588,0.0377,0.8579,0.8597
chestmnist,ViT,112,0.7976,0.0488,0.7963,0.7988
